date	close
1-May-2012	582.13
30-Apr-2012	583.98
27-Apr-2012	603.00
26-Apr-2012	607.70
25-Apr-2012	610.00
24-Apr-2012	560.28
23-Apr-2012	571.70
20-Apr-2012	572.98
19-Apr-2012	587.44
18-Apr-2012	608.34
17-Apr-2012	609.70
16-Apr-2012	580.13
13-Apr-2012	605.23
12-Apr-2012	622.77
11-Apr-2012	626.20
10-Apr-2012	628.44
9-Apr-2012	636.23
5-Apr-2012	633.68
4-Apr-2012	624.31
3-Apr-2012	629.32
2-Apr-2012	618.63
30-Mar-2012	599.55
29-Mar-2012	609.86
28-Mar-2012	617.62
27-Mar-2012	614.48
26-Mar-2012	606.98
23-Mar-2012	596.05
22-Mar-2012	599.34
21-Mar-2012	602.50
20-Mar-2012	605.96
19-Mar-2012	601.10
16-Mar-2012	585.57
15-Mar-2012	585.56
14-Mar-2012	589.58
13-Mar-2012	568.10
12-Mar-2012	552.00
9-Mar-2012	545.17
8-Mar-2012	541.99
7-Mar-2012	530.69
6-Mar-2012	530.26
5-Mar-2012	533.16
2-Mar-2012	545.18
1-Mar-2012	544.47
29-Feb-2012	542.44
28-Feb-2012	535.41
27-Feb-2012	525.76
24-Feb-2012	522.41
23-Feb-2012	516.39
22-Feb-2012	513.04
21-Feb-2012	514.85
17-Feb-2012	502.12
16-Feb-2012	502.21
15-Feb-2012	497.67
14-Feb-2012	509.46
13-Feb-2012	502.60
10-Feb-2012	493.42
9-Feb-2012	493.17
8-Feb-2012	476.68
7-Feb-2012	468.83
6-Feb-2012	463.97
3-Feb-2012	459.68
2-Feb-2012	455.12
1-Feb-2012	456.19
31-Jan-2012	456.48
30-Jan-2012	453.01
27-Jan-2012	447.28
26-Jan-2012	444.63
25-Jan-2012	446.66
24-Jan-2012	420.41
23-Jan-2012	427.41
20-Jan-2012	420.30
19-Jan-2012	427.75
18-Jan-2012	429.11
17-Jan-2012	424.70
13-Jan-2012	419.81
12-Jan-2012	421.39
11-Jan-2012	422.55
10-Jan-2012	423.24
9-Jan-2012	421.73
6-Jan-2012	422.40
5-Jan-2012	418.03
4-Jan-2012	413.44
3-Jan-2012	411.23
30-Dec-2011	405.00
29-Dec-2011	405.12
28-Dec-2011	402.64
27-Dec-2011	406.53
23-Dec-2011	403.43
22-Dec-2011	398.55
21-Dec-2011	396.44
20-Dec-2011	395.95
19-Dec-2011	382.21
16-Dec-2011	381.02
15-Dec-2011	378.94
14-Dec-2011	380.19
13-Dec-2011	388.81
12-Dec-2011	391.84
9-Dec-2011	393.62
8-Dec-2011	390.66
7-Dec-2011	389.09
6-Dec-2011	390.95
5-Dec-2011	393.01
2-Dec-2011	389.70
1-Dec-2011	387.93
30-Nov-2011	382.20
29-Nov-2011	373.20
28-Nov-2011	376.12
25-Nov-2011	363.57
23-Nov-2011	366.99
22-Nov-2011	376.51
21-Nov-2011	369.01
18-Nov-2011	374.94
17-Nov-2011	377.41
16-Nov-2011	384.77
15-Nov-2011	388.83
14-Nov-2011	379.26
11-Nov-2011	384.62
10-Nov-2011	385.22
9-Nov-2011	395.28
8-Nov-2011	406.23
7-Nov-2011	399.73
4-Nov-2011	400.24
3-Nov-2011	403.07
2-Nov-2011	397.41
1-Nov-2011	396.51
31-Oct-2011	404.78
28-Oct-2011	404.95
27-Oct-2011	404.69
26-Oct-2011	400.60
25-Oct-2011	397.77
24-Oct-2011	405.77
21-Oct-2011	392.87
20-Oct-2011	395.31
19-Oct-2011	398.62
18-Oct-2011	422.24
17-Oct-2011	419.99
14-Oct-2011	422.00
13-Oct-2011	408.43
12-Oct-2011	402.19
11-Oct-2011	400.29
10-Oct-2011	388.81
7-Oct-2011	369.80
6-Oct-2011	377.37
5-Oct-2011	378.25
4-Oct-2011	372.50
3-Oct-2011	374.60
30-Sep-2011	381.32
29-Sep-2011	390.57
28-Sep-2011	397.01
27-Sep-2011	399.26
26-Sep-2011	403.17
23-Sep-2011	404.30
22-Sep-2011	401.82
21-Sep-2011	412.14
20-Sep-2011	413.45
19-Sep-2011	411.63
16-Sep-2011	400.50
15-Sep-2011	392.96
14-Sep-2011	389.30
13-Sep-2011	384.62
12-Sep-2011	379.94
9-Sep-2011	377.48
8-Sep-2011	384.14
7-Sep-2011	383.93
6-Sep-2011	379.74
2-Sep-2011	374.05
1-Sep-2011	381.03
31-Aug-2011	384.83
30-Aug-2011	389.99
29-Aug-2011	389.97
26-Aug-2011	383.58
25-Aug-2011	373.72
24-Aug-2011	376.18
23-Aug-2011	373.60
22-Aug-2011	356.44
19-Aug-2011	356.03
18-Aug-2011	366.05
17-Aug-2011	380.44
16-Aug-2011	380.48
15-Aug-2011	383.41
12-Aug-2011	376.99
11-Aug-2011	373.70
10-Aug-2011	363.69
9-Aug-2011	374.01
8-Aug-2011	353.21
5-Aug-2011	373.62
4-Aug-2011	377.37
3-Aug-2011	392.57
2-Aug-2011	388.91
1-Aug-2011	396.75
29-Jul-2011	390.48
28-Jul-2011	391.82
27-Jul-2011	392.59
26-Jul-2011	403.41
25-Jul-2011	398.50
22-Jul-2011	393.30
21-Jul-2011	387.29
20-Jul-2011	386.90
19-Jul-2011	376.85
18-Jul-2011	373.80
15-Jul-2011	364.92
14-Jul-2011	357.77
13-Jul-2011	358.02
12-Jul-2011	353.75
11-Jul-2011	354.00
8-Jul-2011	359.71
7-Jul-2011	357.20
6-Jul-2011	351.76
5-Jul-2011	349.43
1-Jul-2011	343.26
30-Jun-2011	335.67
29-Jun-2011	334.04
28-Jun-2011	335.26
27-Jun-2011	332.04
24-Jun-2011	326.35
23-Jun-2011	331.23
22-Jun-2011	322.61
21-Jun-2011	325.30
20-Jun-2011	315.32
17-Jun-2011	320.26
16-Jun-2011	325.16
15-Jun-2011	326.75
14-Jun-2011	332.44
13-Jun-2011	326.60
10-Jun-2011	325.90
9-Jun-2011	331.49
8-Jun-2011	332.24
7-Jun-2011	332.04
6-Jun-2011	338.04
3-Jun-2011	343.44
2-Jun-2011	346.10
1-Jun-2011	345.51
31-May-2011	347.83
27-May-2011	337.41
26-May-2011	335.00
25-May-2011	336.78
24-May-2011	332.19
23-May-2011	334.40
20-May-2011	335.22
19-May-2011	340.53
18-May-2011	339.87
17-May-2011	336.14
16-May-2011	333.30
13-May-2011	340.50
12-May-2011	346.57
11-May-2011	347.23
10-May-2011	349.45
9-May-2011	347.60
6-May-2011	346.66
5-May-2011	346.75
4-May-2011	349.57
3-May-2011	348.20
2-May-2011	346.28
29-Apr-2011	350.13
28-Apr-2011	346.75
27-Apr-2011	350.15
26-Apr-2011	350.42
25-Apr-2011	353.01
21-Apr-2011	350.70
20-Apr-2011	342.41
19-Apr-2011	337.86
18-Apr-2011	331.85
15-Apr-2011	327.46
14-Apr-2011	332.42
13-Apr-2011	336.13
12-Apr-2011	332.40
